FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,TotalGoals,GoalDiff,Over2.5,BTTS,HomeForm_5,HomeGF_5,HomeGA_5,Home_xG_5,Home_xGA_5,AwayForm_5,AwayGF_5,AwayGA_5,Away_xG_5,Away_xGA_5,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTGD,ATGD,DiffPts,DiffFormPts,DiffFormGoals,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5
0,2,0,0,13,19,5,5,8,11,5,6,2,3,1,0,2223,2,-2,0,0,3.0,3.0,0.0,,,3.0,3.0,0.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,2,1,0,0,1,3.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0
3,3,2,1,12,21,6,10,14,7,5,5,4,2,0,0,2223,6,0,1,1,2.0,1.0,0.0,,,3.0,3.0,0.0,,,0,0,0,0,0.0,0.0,3.849056603773585,0.0377358490566037,0.6095791001451378,1,1,1,0,0,2.0,6.0,0.0,0.0,4.0,6.0,3.0,2.0,6.0,-2.0,-2.0,0.0,4.0,6.0,0,0,0,0,0,0,0,0
0,2,0,1,13,11,3,2,10,7,5,4,2,0,0,0,2223,2,-2,0,0,0.0,0.0,1.5,,,2.0,1.0,0.5,,,0,0,0,0,0.0,0.0,3.770114942528736,0.1494252873563218,0.6489832007073386,2,1,0,0,1,0.0,2.0,3.0,1.0,0.0,4.0,3.0,-3.0,1.0,-4.0,-4.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0
3,0,2,0,12,14,6,3,16,15,4,6,0,1,0,1,2223,3,3,1,0,2.0,2.0,1.5,,,2.0,1.5,1.0,,,0,0,0,0,0.0,0.0,3.704918032786885,0.1475409836065573,0.6380832282471627,0,1,0,1,0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0
3,1,1,0,12,7,6,3,16,18,5,2,3,6,0,1,2223,4,2,1,1,0.0,0.0,1.0,,,0.0,0.0,3.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,0,1,1,0,0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,1,1,0,12,17,4,5,11,7,6,8,3,1,0,0,2223,3,1,1,1,0.0,0.5,3.0,,,1.0,1.5,1.5,,,0,0,0,0,0.0,0.0,3.6582278481012658,0.1392405063291139,0.6270691333982474,0,1,0,0,0,1.0,3.0,6.0,3.0,0.0,2.0,3.0,-5.0,0.0,-2.0,-2.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0
1,1,1,1,13,12,3,7,12,16,6,5,1,4,0,1,2223,2,0,0,1,0.0,0.0,3.0,,,0.0,1.0,2.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,1,1,0,0,0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,1,0,0,11,11,3,6,16,13,2,4,2,1,0,0,2223,1,-1,0,0,1.5,1.5,1.0,,,0.5,1.5,3.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,2,0,0,0,1,3.0,3.0,2.0,6.0,3.0,1.0,3.0,1.0,-3.0,2.0,2.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0
1,0,1,0,7,12,1,2,9,21,2,4,0,3,1,0,2223,1,1,0,0,3.0,2.5,0.5,,,3.0,2.0,0.5,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,0,0,0,1,0,5.0,4.0,1.0,1.0,6.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0
2,1,0,0,7,17,3,5,10,7,3,11,1,2,1,0,2223,3,1,1,1,1.3333333333333333,1.0,1.6666666666666667,,,0.3333333333333333,1.6666666666666667,2.6666666666666665,,,0,0,0,0,0.0,0.0,3.636363636363636,0.0909090909090909,0.6013986013986015,0,1,0,0,0,3.0,5.0,5.0,8.0,4.0,1.0,4.0,-2.0,-3.0,3.0,3.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0
